name,min_AIC,MSE
"Corvallis, OR1br",195.1918936,21748.85925
"Corvallis, OR2br",215.3430954,28241.44784
"Corvallis, OR3br",222.9172969,61353.67312
"Corvallis, OR4br",237.6856493,61206.84998
"Crestview-Fort Walton Beach-Destin, FL_Overall",257.7323017,40696.85995
"Crestview-Fort Walton Beach-Destin, FL_Studio",240.9128448,24265.74174
"Crestview-Fort Walton Beach-Destin, FL1br",244.5827404,25271.32867
"Crestview-Fort Walton Beach-Destin, FL2br",250.1615506,36570.94044
"Crestview-Fort Walton Beach-Destin, FL3br",247.8680864,54015.94284
"Crestview-Fort Walton Beach-Destin, FL4br",263.7947345,95202.41732
"Dallas-Fort Worth-Arlington, TX_Overall",166.0445897,38711.15415
"Dallas-Fort Worth-Arlington, TX_Studio",151.8424412,25176.44454
"Dallas-Fort Worth-Arlington, TX1br",152.8869392,28065.02257
"Dallas-Fort Worth-Arlington, TX2br",156.0945585,39062.48271
"Dallas-Fort Worth-Arlington, TX3br",176.2146569,54577.12689
"Dallas-Fort Worth-Arlington, TX4br",193.4113233,95654.10666
"Daphne-Fairhope-Foley, AL_Overall",228.9953034,39406.19127
"Daphne-Fairhope-Foley, AL_Studio",209.5660493,18740.48905
"Daphne-Fairhope-Foley, AL1br",211.5618382,20975.74633
"Daphne-Fairhope-Foley, AL2br",224.7353106,34090.52543
"Daphne-Fairhope-Foley, AL3br",237.4449224,50014.01532
"Daphne-Fairhope-Foley, AL4br",251.4329474,84225.06239
"Davenport-Moline-Rock Island, IA-IL_Overall",172.3447267,15831.20569
"Davenport-Moline-Rock Island, IA-IL_Studio",150.1739231,7797.458007
"Davenport-Moline-Rock Island, IA-IL1br",162.6612754,10453.95288
"Davenport-Moline-Rock Island, IA-IL2br",176.487648,17060.12851
"Davenport-Moline-Rock Island, IA-IL3br",187.6759186,25342.80621
"Davenport-Moline-Rock Island, IA-IL4br",194.5358276,34644.10495
"Deltona-Daytona Beach-Ormond Beach, FL_Overall",191.2867439,26124.82958
"Deltona-Daytona Beach-Ormond Beach, FL_Studio",181.2914938,14238.90635
"Deltona-Daytona Beach-Ormond Beach, FL1br",186.0368654,16007.505
"Deltona-Daytona Beach-Ormond Beach, FL2br",197.6987401,23566.54866
"Deltona-Daytona Beach-Ormond Beach, FL3br",201.198529,36137.39504
"Deltona-Daytona Beach-Ormond Beach, FL4br",205.3410507,44731.07516
"Denver-Aurora-Lakewood, CO_Overall",192.0088194,55858.63375
"Denver-Aurora-Lakewood, CO_Studio",184.7891236,34288.22672
"Denver-Aurora-Lakewood, CO1br",191.4443293,41046.26936
"Denver-Aurora-Lakewood, CO2br",187.940934,63569.77574
"Denver-Aurora-Lakewood, CO3br",204.2259248,86847.47015
"Denver-Aurora-Lakewood, CO4br",215.512505,117614.4911
"Des Moines-West Des Moines, IA_Overall",168.231031,25857.43949
"Des Moines-West Des Moines, IA_Studio",150.6909795,14346.51538
"Des Moines-West Des Moines, IA1br",8,1.20E+49
"Des Moines-West Des Moines, IA2br",161.7746496,26330.84901
"Des Moines-West Des Moines, IA3br",8,3.08E+49
"Des Moines-West Des Moines, IA4br",188.5415855,51789.00918
"Detroit-Warren-Dearborn, MI_Overall",160.9170122,22569.31689
"Detroit-Warren-Dearborn, MI_Studio",157.0334534,11719.27634
"Detroit-Warren-Dearborn, MI1br",162.9505681,13448.75808
"Detroit-Warren-Dearborn, MI2br",169.5914952,23252.17566
"Detroit-Warren-Dearborn, MI3br",183.4417387,31821.91988
"Detroit-Warren-Dearborn, MI4br",190.074696,37428.56596
"Durham-Chapel Hill, NC_Overall",187.7897059,34189.73282
"Durham-Chapel Hill, NC_Studio",180.7266299,25762.62125
"Durham-Chapel Hill, NC1br",175.1314924,25657.55951
"Durham-Chapel Hill, NC2br",187.7897059,34189.73282
"Durham-Chapel Hill, NC3br",188.5543512,46621.69483
"Durham-Chapel Hill, NC4br",205.1252216,66311.04321
"El Paso, TX_Overall",171.383242,37170.4435
"El Paso, TX_Studio",146.8727394,15690.75394
"El Paso, TX1br",161.8868946,23116.1007
"El Paso, TX2br",169.5091242,17899.32267
"El Paso, TX3br",184.2710213,56630.85324
"El Paso, TX4br",194.7946068,88314.25319
"Eugene-Springfield, OR_Overall",185.0650541,21961.89062
"Eugene-Springfield, OR_Studio",163.5690043,10596.27429
"Eugene-Springfield, OR1br",168.5926108,11900.71059
"Eugene-Springfield, OR2br",181.8770284,21126.84327
"Eugene-Springfield, OR3br",194.510883,41211.51536
"Eugene-Springfield, OR4br",206.2412114,46047.44381
"Evansville, IN-KY_Overall",195.9078475,16261.55336
"Evansville, IN-KY_Studio",185.107293,9953.923437
"Evansville, IN-KY1br",186.1708988,10802.11889
"Evansville, IN-KY2br",194.5312115,17676.82615
"Evansville, IN-KY3br",211.7734598,25248.99988
"Evansville, IN-KY4br",219.6164404,33855.31177
"Fargo, ND-MN_Overall",170.8743892,20612.26736
"Fargo, ND-MN_Studio",149.4244725,10311.72273
"Fargo, ND-MN1br",160.2167074,14685.7266
"Fargo, ND-MN2br",163.3115513,19041.69155
"Fargo, ND-MN3br",190.3616735,43553.04746
"Fargo, ND-MN4br",201.1286345,83722.33694
"Fayetteville, NC_Overall",192.4081754,36777.00135
"Fayetteville, NC_Studio",178.6178261,11818.3542
"Fayetteville, NC1br",180.5017128,11796.00744
